Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
13,"4,792.00","6,558.44","8,976.02","12,237.97","16,496.33","22,207.37","29,343.23","38,469.19","47,436.74","57,338.40","65,805.26","72,045.90","79,429.40","80,467.62","84,036.33","83,354.20","83,034.68","84,713.90","86,326.12","88,209.75","87,465.54","87,300.34","83,076.55","83,182.63","82,620.30","83,587.61","82,739.91","82,813.71","81,662.39","82,398.70","82,955.97"
14,"4,792.00","6,571.40","9,011.53","12,304.51","16,658.07","22,348.44","29,897.11","38,880.29","49,849.72","58,705.59","69,010.82","74,400.45","81,886.18","84,045.11","86,915.74","88,113.91","86,499.09","84,961.84","83,392.77","80,543.86","77,938.81","77,929.53","78,208.07","80,485.35","80,637.95","83,702.59","83,781.33","85,766.98","88,010.54","88,315.15","89,843.06"
15,"4,792.00","6,572.69","9,015.07","12,311.93","16,721.04","22,446.62","30,072.83","38,844.97","50,158.41","59,445.89","70,105.92","77,905.67","84,977.48","89,093.26","92,848.08","95,298.98","97,751.03","94,370.16","91,181.94","88,768.98","86,063.91","87,947.76","86,805.01","85,499.12","82,099.15","79,831.99","79,057.89","80,526.01","83,173.79","84,878.96","85,974.26"
16,"4,792.00","6,567.17","8,999.94","12,298.39","16,578.32","22,372.39","29,831.14","38,891.87","49,237.84","59,587.21","67,044.84","76,803.10","81,000.78","83,851.14","87,777.05","87,022.69","88,729.20","90,430.53","91,565.41","90,963.30","91,507.60","87,991.47","86,617.06","85,757.94","84,385.45","85,272.42","82,690.96","82,802.00","79,694.07","80,617.69","78,108.92"
17,"4,792.00","6,571.42","9,011.58","12,242.52","16,609.15","22,195.58","29,506.23","38,424.74","47,544.35","58,892.83","67,431.55","76,860.65","82,932.57","84,475.42","83,247.96","82,018.95","81,951.22","83,775.56","86,219.51","87,768.27","88,775.40","89,185.64","88,783.21","90,728.44","88,409.71","89,026.89","86,862.61","85,627.26","82,775.11","81,483.80","77,902.64"
18,"4,792.00","6,555.73","8,968.61","12,253.31","16,600.45","22,408.32","29,597.20","38,546.67","48,040.76","57,918.38","67,371.09","75,749.41","79,623.74","83,183.22","85,779.76","88,987.13","92,960.91","91,257.88","92,114.98","86,621.25","86,743.48","86,388.48","87,468.35","86,617.76","88,163.93","83,569.95","84,864.18","80,789.14","78,976.17","76,483.60","73,610.12"
19,"4,792.00","6,570.27","9,008.45","12,307.62","16,613.58","22,337.71","29,764.70","39,305.85","49,689.53","60,458.52","70,350.72","77,320.94","81,396.92","86,191.37","88,304.91","89,828.81","93,264.24","91,205.06","90,262.70","89,596.43","88,321.39","88,236.89","89,702.91","88,699.95","90,761.41","90,134.92","90,092.84","88,437.74","88,051.54","83,819.35","84,909.94"
20,"4,792.00","6,566.79","8,998.90","12,249.77","16,603.73","22,237.28","29,350.66","37,964.44","47,688.30","57,719.14","66,615.36","76,643.09","81,460.27","86,583.95","86,546.57","86,168.22","83,272.18","80,712.42","79,849.27","80,918.49","81,781.76","82,832.91","84,902.54","86,498.04","88,668.70","92,447.94","94,246.39","94,564.89","96,306.65","96,492.00","95,427.43"
21,"4,792.00","6,547.26","8,945.47","12,214.74","16,531.72","22,306.81","29,556.13","38,920.62","49,226.34","58,395.41","68,784.46","74,600.06","78,761.87","79,859.95","78,613.23","77,815.61","76,203.78","77,736.54","79,030.48","82,649.17","82,840.85","86,918.27","87,995.91","91,261.75","93,730.77","94,291.36","94,300.30","91,350.48","89,203.22","88,737.61","88,704.08"
22,"4,792.00","6,552.75","8,960.47","12,187.56","16,462.06","22,176.21","29,678.88","38,997.02","49,592.44","60,283.80","70,134.81","77,030.85","82,955.03","82,529.70","84,208.25","82,046.94","83,252.75","82,006.88","82,845.56","82,533.07","84,630.41","86,865.31","86,334.95","89,558.81","88,371.83","89,410.50","89,103.62","85,687.74","86,741.91","83,883.77","86,803.87"
23,"4,792.00","6,534.61","8,910.91","12,144.62","16,480.22","22,206.72","29,565.14","39,063.85","49,270.01","58,933.25","68,482.65","74,398.79","79,198.51","82,209.85","84,811.31","83,588.11","85,351.19","82,632.52","82,637.06","81,668.93","80,733.09","82,111.86","83,572.01","83,188.25","83,577.72","80,478.49","79,539.92","76,820.73","78,638.83","77,837.69","78,816.86"
24,"4,792.00","6,565.00","8,994.00","12,246.98","16,483.78","22,038.13","29,547.55","38,565.76","49,671.67","60,395.92","68,348.82","74,136.84","76,300.49","77,910.36","77,689.09","76,619.86","78,416.43","77,685.85","78,160.10","77,583.63","76,413.13","75,467.36","77,388.51","75,862.08","78,279.07","79,678.60","79,763.93","82,671.08","82,446.68","84,652.29","85,786.93"
25,"4,792.00","6,560.95","8,982.90","12,263.52","16,641.42","22,325.53","29,845.77","39,021.95","50,362.04","61,622.67","72,367.76","80,938.56","87,058.02","90,781.84","92,874.81","94,780.09","94,033.83","92,670.88","91,105.39","88,688.73","88,982.86","85,498.20","85,171.46","83,110.01","83,604.91","85,606.61","87,256.45","87,605.11","89,724.31","87,608.84","87,128.66"
26,"4,792.00","6,555.96","8,969.24","12,186.37","16,528.57","22,314.41","29,862.79","38,723.25","49,490.71","58,883.33","68,331.30","76,977.23","81,917.49","84,769.18","84,521.91","83,681.48","84,422.84","82,837.28","85,294.75","83,626.03","83,120.67","83,095.63","83,252.78","81,773.80","83,797.15","83,903.95","83,481.41","84,230.32","84,815.58","86,181.20","87,307.16"
27,"4,792.00","6,568.13","9,002.57","12,268.41","16,525.29","22,038.35","29,254.08","37,586.67","47,183.27","57,329.52","67,512.43","76,250.93","84,374.79","87,169.93","90,401.54","90,846.25","91,207.82","91,365.56","90,793.90","91,615.45","90,739.93","92,918.49","89,233.85","91,211.12","88,800.27","85,999.09","84,856.23","80,313.50","79,956.24","77,458.44","76,381.96"
28,"4,792.00","6,568.02","9,002.27","12,227.94","16,493.56","22,265.87","29,463.67","38,174.09","48,056.22","57,745.37","66,321.55","74,390.92","80,039.53","82,160.66","86,664.94","86,909.41","86,787.63","85,599.29","85,889.61","86,982.62","88,926.96","91,118.23","89,261.67","86,202.27","82,043.59","80,229.87","80,132.65","78,674.98","78,161.87","75,784.60","74,656.28"
29,"4,792.00","6,535.27","8,912.71","12,158.79","16,467.13","22,157.91","29,603.29","38,386.68","49,341.92","57,892.35","67,219.80","73,676.45","76,396.93","77,389.82","79,400.68","80,981.94","82,126.47","82,266.56","80,572.32","80,975.94","78,384.85","81,592.63","82,874.01","85,332.59","89,717.61","91,707.43","91,812.08","91,993.01","87,833.08","84,692.68","82,112.55"
30,"4,792.00","6,561.85","8,985.37","12,258.91","16,642.48","22,332.07","29,626.09","38,911.93","48,896.64","58,998.68","66,746.61","72,230.99","77,403.05","78,643.79","84,175.00","85,795.99","85,256.83","86,858.12","83,905.57","84,096.39","82,694.54","84,445.67","84,663.48","85,478.89","84,901.51","84,768.97","82,798.45","84,991.89","84,754.48","84,810.62","86,088.93"
31,"4,792.00","6,572.45","9,014.41","12,229.69","16,565.36","22,367.63","29,748.80","38,981.03","49,415.95","60,137.78","68,312.35","77,984.92","83,299.17","86,952.63","89,295.24","88,103.76","86,691.99","84,927.94","86,032.94","83,999.41","85,962.80","83,968.48","84,991.25","84,196.34","83,205.36","81,895.86","82,303.65","79,551.04","80,382.58","80,629.21","81,563.77"
32,"4,792.00","6,565.43","8,995.17","12,265.33","16,593.26","22,348.11","29,593.37","39,104.51","48,653.39","59,238.48","68,371.49","74,145.33","79,272.53","83,082.99","86,078.65","88,467.02","91,564.93","91,639.35","93,028.89","94,452.11","92,354.87","94,209.65","92,322.97","93,299.97","90,122.02","91,337.29","90,023.15","88,686.50","89,521.85","88,405.23","89,755.99"
33,"4,792.00","6,555.21","8,967.19","12,162.11","16,458.10","21,955.75","29,087.47","37,412.01","46,568.21","56,447.75","65,803.42","74,119.70","81,562.96","83,938.17","84,869.41","84,691.13","85,121.03","84,031.50","86,959.02","84,728.76","83,668.88","81,376.47","81,464.58","78,301.09","80,658.87","78,405.37","78,413.45","78,031.23","79,204.46","78,816.27","81,707.90"
34,"4,792.00","6,547.16","8,945.18","12,188.28","16,408.90","22,162.38","29,549.31","39,004.14","49,088.01","59,019.57","67,453.00","73,817.98","76,771.76","78,261.35","78,800.31","77,996.45","78,320.86","77,931.75","77,293.92","77,001.44","78,900.08","81,398.44","85,146.21","86,327.56","87,459.36","87,459.95","88,943.07","91,056.82","90,094.34","88,718.80","87,716.40"
35,"4,792.00","6,557.75","8,974.13","12,226.58","16,511.04","22,271.37","29,495.32","38,649.55","48,784.30","58,129.10","68,234.44","75,803.55","81,139.36","83,554.47","84,731.33","84,064.84","81,653.68","83,415.56","82,801.57","84,445.50","84,589.36","85,319.25","85,554.70","85,863.72","87,379.92","86,093.96","83,926.24","80,583.04","77,046.87","76,980.82","76,643.61"
36,"4,792.00","6,560.03","8,980.39","12,249.24","16,650.83","22,267.63","29,780.81","38,906.08","50,253.94","61,678.95","71,046.51","79,758.85","83,392.29","89,149.43","92,644.93","92,701.41","93,991.71","91,842.92","89,853.93","85,732.40","85,787.80","83,129.50","84,796.32","85,476.99","87,556.76","89,391.03","88,929.47","88,009.95","84,716.77","83,086.28","83,100.47"
37,"4,792.00","6,572.99","9,015.91","12,297.71","16,670.24","22,447.12","29,903.49","38,781.28","49,147.21","58,663.19","68,497.43","77,408.22","84,486.68","88,093.44","92,570.81","91,071.76","90,689.42","90,835.17","86,095.15","83,991.99","80,556.73","79,784.38","80,975.80","84,466.58","86,177.00","87,148.08","86,248.47","82,935.79","83,957.34","79,756.24","81,009.67"
38,"4,792.00","6,559.00","8,977.57","12,205.25","16,538.26","22,250.00","29,710.28","38,729.51","49,812.33","59,466.21","69,026.03","78,045.14","84,408.32","90,922.67","95,067.88","96,242.05","95,259.19","95,068.41","92,686.02","93,388.94","92,989.91","94,284.34","93,321.06","90,038.21","88,653.75","83,462.11","84,566.31","80,816.38","83,095.29","82,207.31","83,313.22"
39,"4,792.00","6,564.01","8,991.30","12,220.32","16,504.93","22,279.20","29,825.42","39,278.74","50,737.98","60,987.10","72,497.49","79,162.53","86,568.14","88,513.81","88,327.45","86,708.48","82,712.53","80,610.16","80,369.35","81,063.90","80,395.43","83,735.69","84,452.36","87,440.77","89,429.86","87,442.17","87,805.10","85,926.48","85,169.83","83,469.39","84,415.66"
40,"4,792.00","6,548.62","8,949.18","12,206.97","16,567.85","22,314.05","29,860.56","38,655.91","49,108.99","57,328.40","66,397.54","73,391.62","78,176.72","80,499.36","82,514.62","82,506.52","81,770.29","84,058.46","84,669.79","85,280.35","86,299.10","84,389.11","85,411.59","84,332.13","83,559.69","84,895.01","83,773.14","84,437.41","86,132.88","83,668.15","82,422.88"
41,"4,792.00","6,557.74","8,974.12","12,247.31","16,603.93","22,441.75","29,548.84","38,897.93","47,893.84","57,468.51","67,258.40","73,019.17","81,429.61","84,829.50","87,759.93","88,959.65","88,990.68","86,095.13","85,980.56","85,063.00","82,914.94","83,355.52","80,355.04","80,517.75","80,425.03","83,030.88","85,127.40","87,914.05","86,133.65","88,434.10","83,911.47"
42,"4,792.00","6,570.61","9,009.38","12,296.41","16,577.87","22,208.80","29,498.75","38,713.26","47,859.37","58,529.48","66,321.06","74,887.55","78,544.46","84,451.33","85,442.57","88,484.67","90,922.25","93,693.95","93,652.94","94,472.72","90,180.76","90,136.13","87,218.48","88,761.41","86,424.66","87,501.18","86,309.18","85,249.30","84,539.92","83,645.91","83,864.58"
43,"4,792.00","6,562.13","8,986.12","12,199.05","16,553.58","22,240.16","29,485.13","39,040.39","49,175.96","60,575.26","71,902.76","81,422.43","87,679.37","93,016.83","91,951.12","92,322.81","89,161.05","88,827.65","85,992.23","86,122.59","85,800.40","86,776.72","87,309.67","87,935.87","88,990.44","88,799.59","86,415.03","86,790.17","85,653.21","87,183.67","89,312.48"
44,"4,792.00","6,538.04","8,920.28","12,188.42","16,405.34","22,033.33","29,448.28","38,204.14","48,419.22","57,634.01","65,624.96","72,695.71","79,086.99","83,751.85","87,864.32","89,548.72","89,699.93","88,489.86","87,331.32","86,729.20","85,903.18","87,564.45","87,674.32","88,546.43","88,888.29","88,402.46","85,570.75","86,517.75","82,131.14","82,240.39","80,575.04"
45,"4,792.00","6,563.27","8,989.25","12,287.14","16,692.00","22,325.46","29,360.59","38,123.31","46,966.35","56,381.18","65,438.54","70,581.70","76,842.07","80,413.10","81,548.07","82,229.09","83,731.12","82,702.77","85,386.02","83,553.72","83,638.15","81,774.12","81,619.09","79,595.72","81,289.58","81,274.78","83,447.08","84,511.75","85,715.88","86,976.99","88,990.69"
46,"4,792.00","6,555.14","8,966.99","12,247.67","16,616.41","22,454.76","30,094.75","39,907.96","51,320.26","63,323.11","73,514.50","80,886.50","85,763.95","87,132.07","86,908.11","85,925.79","85,366.00","85,602.70","84,246.87","83,808.73","80,427.50","80,919.24","77,987.28","80,075.44","78,748.72","78,188.80","80,376.48","80,420.31","82,764.96","85,809.52","87,837.67"
47,"4,792.00","6,571.50","9,011.82","12,258.62","16,607.03","22,163.18","29,685.89","38,508.04","49,580.90","59,649.13","68,524.93","75,936.30","81,890.60","84,803.97","88,986.85","89,814.89","90,149.14","88,660.93","84,946.08","84,059.99","83,053.00","81,259.51","81,446.33","81,039.66","80,960.86","83,805.37","84,937.10","84,535.41","86,467.79","83,895.31","82,061.64"
48,"4,792.00","6,552.98","8,961.09","12,163.66","16,520.32","22,166.21","29,624.28","38,912.04","49,315.91","59,965.41","69,827.30","78,752.91","84,206.13","88,176.69","90,654.91","92,104.24","91,411.58","93,642.67","88,591.61","88,238.04","86,353.45","85,499.11","85,527.42","86,763.24","87,823.97","87,790.86","86,676.25","82,991.24","80,108.37","79,248.36","78,143.17"
49,"4,792.00","6,561.76","8,985.12","12,219.15","16,529.43","22,171.92","29,688.68","38,521.90","49,731.71","60,268.48","71,207.09","81,771.15","90,104.79","96,164.27","95,672.42","92,884.64","87,980.63","86,133.06","83,777.37","84,763.27","84,488.95","86,345.29","88,335.16","88,184.14","87,569.39","87,691.71","87,362.72","89,286.41","89,823.84","92,164.74","93,041.85"
50,"4,792.00","6,556.52","8,970.77","12,240.04","16,589.65","22,381.98","29,937.89","39,632.87","50,240.36","60,389.45","69,520.10","77,014.43","81,063.80","85,559.12","86,357.60","84,701.05","84,213.15","83,908.36","83,876.55","85,471.51","85,617.81","84,870.18","86,348.36","86,067.09","87,369.17","88,766.47","86,301.14","88,110.27","86,901.20","89,358.71","88,931.74"
51,"4,792.00","6,565.64","8,995.74","12,287.72","16,714.96","22,435.95","29,725.64","39,004.37","48,137.48","59,039.98","67,097.16","75,298.68","82,046.06","84,197.15","84,841.28","82,148.40","80,850.79","78,790.55","80,971.98","82,538.06","84,196.58","84,906.35","85,389.63","85,994.78","85,078.74","85,909.07","82,715.72","84,099.90","83,497.18","86,154.59","87,183.58"
52,"4,792.00","6,546.80","8,944.20","12,149.20","16,367.11","22,124.13","29,280.20","38,254.88","48,001.35","58,223.20","67,991.67","78,230.94","83,369.14","87,687.37","90,013.69","86,924.17","84,505.72","79,448.83","77,424.10","74,286.59","74,492.95","76,174.00","76,306.49","78,340.66","80,745.50","80,503.80","83,149.28","81,342.08","82,714.69","83,342.04","82,279.28"
53,"4,792.00","6,548.30","8,948.29","12,158.60","16,494.19","22,256.37","29,595.67","38,950.79","49,630.94","59,689.03","70,961.72","78,591.08","84,425.35","88,206.96","90,379.17","90,776.17","89,633.07","90,986.07","89,575.17","88,063.40","87,661.10","84,451.84","85,260.28","85,860.10","86,785.83","89,727.16","87,424.29","86,292.89","85,464.23","85,636.28","87,379.30"
54,"4,792.00","6,543.39","8,934.87","12,175.35","16,401.20","21,859.89","29,190.35","37,437.21","46,904.78","56,924.30","64,522.35","74,169.89","79,734.98","85,901.32","87,304.75","88,370.26","89,887.47","87,250.56","86,595.64","82,451.63","82,040.06","80,648.51","82,187.17","82,103.09","83,697.95","83,440.60","81,898.83","81,709.87","78,541.58","79,868.06","81,007.48"
55,"4,792.00","6,539.61","8,924.57","12,144.22","16,391.27","22,009.23","29,146.65","37,756.44","47,423.28","57,067.21","65,604.44","75,644.10","81,689.44","86,051.81","88,324.02","85,737.21","84,421.30","80,562.86","78,595.20","79,214.74","77,408.65","80,408.85","78,963.57","79,237.44","80,108.19","81,434.26","81,063.74","84,064.93","85,098.85","88,241.88","88,146.48"
56,"4,792.00","6,566.81","8,998.95","12,287.74","16,642.52","22,367.05","29,978.27","39,749.44","51,626.62","64,168.81","74,695.23","84,092.91","87,024.78","88,593.82","88,059.92","85,126.39","86,063.28","86,314.98","88,930.10","92,344.44","90,185.33","92,243.19","88,839.78","87,209.17","84,247.00","81,060.98","80,499.48","79,736.09","79,630.88","80,340.07","81,383.34"
57,"4,792.00","6,552.98","8,961.10","12,233.57","16,507.07","22,288.07","29,743.26","39,341.89","49,884.49","59,975.68","70,379.77","77,868.76","83,639.86","88,964.61","90,880.97","89,419.74","89,031.57","87,932.04","87,461.18","85,804.48","85,752.65","83,999.23","80,930.61","78,932.46","76,742.67","77,637.13","79,007.44","80,957.91","81,923.03","80,275.09","79,509.22"
58,"4,792.00","6,565.30","8,994.81","12,267.76","16,590.83","22,232.50","29,298.77","38,444.12","47,776.93","57,770.07","68,259.60","76,402.84","83,687.80","88,435.41","92,676.06","91,672.29","89,813.17","90,039.53","84,702.45","82,712.58","79,171.78","75,685.63","74,759.50","73,730.38","72,988.44","75,168.72","77,185.38","79,592.27","80,466.44","80,007.04","80,743.75"
59,"4,792.00","6,537.27","8,918.18","12,178.84","16,413.99","22,072.86","29,096.44","38,508.75","47,347.09","58,110.30","65,693.49","73,578.94","79,797.88","82,148.98","86,024.79","86,914.51","87,642.94","88,044.90","85,887.20","82,849.48","81,635.62","77,971.83","78,439.72","77,772.01","79,065.38","77,888.12","77,306.30","76,976.24","77,162.05","79,531.38","82,370.88"
60,"4,792.00","6,561.91","8,985.54","12,214.56","16,579.53","22,141.75","29,550.24","38,536.86","49,143.50","60,886.20","70,140.43","76,317.18","79,735.74","80,968.38","80,344.40","79,657.73","77,899.47","77,414.48","78,182.29","78,768.35","78,182.14","79,991.50","80,692.66","84,373.53","87,513.90","90,223.27","89,588.68","91,213.31","90,531.65","92,851.41","93,040.94"
61,"4,792.00","6,567.67","9,001.30","12,255.85","16,668.50","22,398.83","29,742.13","39,276.44","49,627.51","59,710.09","68,843.35","76,420.29","81,779.06","84,563.43","85,922.38","85,084.55","83,596.55","85,366.03","84,763.56","85,334.78","85,996.26","86,496.95","85,965.77","87,472.68","85,954.77","87,658.07","87,570.77","89,943.36","90,430.89","91,370.97","92,541.02"
62,"4,792.00","6,556.08","8,969.56","12,162.54","16,485.21","22,197.05","29,571.92","38,698.81","48,448.95","58,697.98","67,048.12","75,571.24","82,007.41","86,331.63","89,847.35","89,822.24","90,906.50","90,071.73","90,821.37","90,816.62","91,791.95","91,413.01","91,297.34","89,946.30","88,684.86","86,062.07","87,017.75","85,850.31","86,412.57","88,222.60","85,195.85"
63,"4,792.00","6,548.66","8,949.27","12,141.23","16,471.49","22,049.87","29,282.31","38,367.71","48,776.06","59,520.96","68,707.69","75,146.58","79,135.11","83,421.04","83,830.55","85,333.65","84,394.49","83,534.97","81,827.98","81,435.06","80,686.91","82,348.75","81,709.41","84,053.73","81,033.07","82,136.19","81,051.32","79,341.09","78,380.80","76,989.15","77,794.47"
64,"4,792.00","6,572.78","9,015.32","12,284.68","16,694.61","22,518.35","30,113.43","39,887.74","51,143.56","63,112.49","74,157.72","83,517.64","88,705.13","93,790.92","91,633.16","89,060.17","83,799.40","81,197.33","80,645.86","79,199.01","82,767.60","80,671.56","81,649.59","82,792.15","84,412.87","87,926.34","87,735.69","90,570.19","87,503.90","88,094.57","84,807.85"
65,"4,792.00","6,563.23","8,989.14","12,199.50","16,555.21","22,270.68","29,717.54","38,987.83","50,063.43","61,192.14","72,844.30","80,611.58","86,368.93","89,680.39","88,037.48","90,156.28","86,700.61","88,517.70","85,675.79","86,754.36","87,252.05","86,337.72","86,470.57","87,456.58","88,170.31","90,001.41","92,369.23","93,202.67","94,262.78","93,975.37","91,428.70"
66,"4,792.00","6,563.38","8,989.55","12,246.55","16,508.87","22,245.42","29,683.02","38,962.38","49,567.25","60,505.28","68,951.02","75,507.39","77,911.67","80,750.41","81,450.85","83,230.61","85,824.93","87,919.82","90,355.37","93,093.18","94,650.37","96,426.45","95,311.11","94,602.68","93,471.57","90,430.45","88,838.32","88,453.71","87,891.79","90,169.64","92,162.87"
67,"4,792.00","6,573.33","9,016.82","12,262.29","16,508.25","22,140.89","29,685.20","38,774.06","49,339.76","59,072.55","65,683.91","71,043.08","75,125.23","78,547.41","83,205.03","83,179.55","87,120.15","87,714.17","88,496.41","87,585.61","86,759.40","86,725.56","87,796.39","86,156.40","84,826.20","83,493.21","83,389.23","83,192.99","83,779.44","83,950.00","84,276.18"
68,"4,792.00","6,540.93","8,928.17","12,201.92","16,567.57","22,392.63","29,504.57","39,085.57","48,692.93","59,231.35","69,124.47","75,927.26","81,910.97","86,257.29","90,692.18","90,416.01","93,174.94","92,814.11","90,342.96","87,681.21","85,759.08","81,781.55","82,709.36","80,123.11","82,397.30","79,396.24","79,869.85","77,420.25","77,638.63","78,234.30","79,918.22"
69,"4,792.00","6,553.93","8,963.69","12,181.82","16,537.79","22,202.58","29,700.50","38,490.39","48,558.00","58,116.21","66,931.55","75,933.68","82,322.78","87,969.43","89,454.04","89,853.33","91,167.37","86,864.30","85,643.48","80,687.82","79,221.47","75,353.24","74,647.47","72,350.91","73,361.28","74,288.32","75,755.50","78,729.63","80,286.36","83,115.43","83,421.72"
70,"4,792.00","6,546.60","8,943.64","12,214.24","16,608.85","22,399.31","29,655.59","38,812.97","48,649.44","58,365.76","68,672.30","76,740.26","81,659.76","86,988.87","87,515.93","90,891.79","87,954.36","87,761.79","84,137.11","80,565.31","81,576.76","81,526.50","85,227.49","88,936.11","91,550.39","94,920.74","91,961.62","92,161.98","89,176.25","85,737.93","85,275.48"
71,"4,792.00","6,566.46","8,997.99","12,249.64","16,598.19","22,377.10","29,780.67","39,248.77","49,968.02","61,349.79","72,906.42","82,749.56","89,135.33","93,342.88","92,510.08","92,699.05","88,310.61","88,810.03","86,653.35","88,547.79","86,773.09","86,087.46","82,354.84","81,856.60","80,115.34","81,129.04","82,845.26","85,385.90","87,440.47","88,771.81","89,939.49"
72,"4,792.00","6,560.14","8,980.69","12,252.27","16,510.59","22,026.27","29,222.04","37,622.67","46,768.56","56,460.91","63,708.90","72,078.60","78,444.06","83,071.68","89,190.82","90,044.77","91,517.65","92,172.47","89,906.60","87,534.28","86,993.69","83,707.37","82,568.75","80,794.31","80,345.34","80,465.09","83,181.28","86,137.17","89,794.26","88,939.13","91,687.93"
